,S.No,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),WD (deg),SO2 (ug/m3)
0,1,01-Nov-2018 - 00:00,01-Nov-2018 - 04:00,408.81,855.83,161.91,220.41,19.84
1,2,01-Nov-2018 - 04:00,01-Nov-2018 - 08:00,389.31,804.88,183.56,145.21,37.86
2,3,01-Nov-2018 - 08:00,01-Nov-2018 - 12:00,406.0,691.94,148.79,105.44,11.73
3,4,01-Nov-2018 - 12:00,01-Nov-2018 - 16:00,147.14,284.19,91.12,147.53,6.89
4,5,01-Nov-2018 - 16:00,01-Nov-2018 - 20:00,211.44,471.69,201.12,95.61,14.25
5,6,01-Nov-2018 - 20:00,02-Nov-2018 - 00:00,312.19,607.94,161.52,56.54,17.52
6,7,02-Nov-2018 - 00:00,02-Nov-2018 - 04:00,303.0,555.69,127.29,82.84,13.11
7,8,02-Nov-2018 - 04:00,02-Nov-2018 - 08:00,230.38,355.12,122.81,70.74,9.08
8,9,02-Nov-2018 - 08:00,02-Nov-2018 - 12:00,243.5,465.69,124.52,97.9,17.51
9,10,02-Nov-2018 - 12:00,02-Nov-2018 - 16:00,184.44,366.0,90.07,93.99,4.49
10,11,02-Nov-2018 - 16:00,02-Nov-2018 - 20:00,168.25,358.56,154.73,78.06,7.71
11,12,02-Nov-2018 - 20:00,03-Nov-2018 - 00:00,174.19,376.38,143.48,86.96,7.82
12,13,03-Nov-2018 - 00:00,03-Nov-2018 - 04:00,191.38,333.25,84.63,91.36,11.97
13,14,03-Nov-2018 - 04:00,03-Nov-2018 - 08:00,184.5,284.19,97.62,97.2,11.84
14,15,03-Nov-2018 - 08:00,03-Nov-2018 - 12:00,230.75,409.69,87.06,86.65,20.24
15,16,03-Nov-2018 - 12:00,03-Nov-2018 - 16:00,130.88,279.25,64.43,90.59,8.68
16,17,03-Nov-2018 - 16:00,03-Nov-2018 - 20:00,123.38,317.0,82.67,87.35,8.8
17,18,03-Nov-2018 - 20:00,04-Nov-2018 - 00:00,129.94,255.62,80.23,134.07,15.28
18,19,04-Nov-2018 - 00:00,04-Nov-2018 - 04:00,87.38,183.62,48.09,78.87,20.09
19,20,04-Nov-2018 - 04:00,04-Nov-2018 - 08:00,39.25,56.81,62.99,86.77,22.11
20,21,04-Nov-2018 - 08:00,04-Nov-2018 - 12:00,47.56,149.25,52.02,98.81,24.58
21,22,04-Nov-2018 - 12:00,04-Nov-2018 - 16:00,52.88,168.12,87.36,213.11,18.64
22,23,04-Nov-2018 - 16:00,04-Nov-2018 - 20:00,163.69,330.06,127.96,289.34,19.7
23,24,04-Nov-2018 - 20:00,05-Nov-2018 - 00:00,285.5,436.38,93.7,284.66,19.75
24,25,05-Nov-2018 - 00:00,05-Nov-2018 - 04:00,527.31,605.25,82.96,289.41,18.77
25,26,05-Nov-2018 - 04:00,05-Nov-2018 - 08:00,805.06,883.06,93.86,281.74,20.34
26,27,05-Nov-2018 - 08:00,05-Nov-2018 - 12:00,669.62,775.6,142.96,270.9,23.1
27,28,05-Nov-2018 - 12:00,05-Nov-2018 - 16:00,310.69,475.5,111.23,279.71,17.89
28,29,05-Nov-2018 - 16:00,05-Nov-2018 - 20:00,230.75,445.19,158.61,283.64,21.36
29,30,05-Nov-2018 - 20:00,06-Nov-2018 - 00:00,238.62,447.44,162.62,282.71,25.48
30,31,06-Nov-2018 - 00:00,06-Nov-2018 - 04:00,369.5,495.56,85.49,289.08,17.73
31,32,06-Nov-2018 - 04:00,06-Nov-2018 - 08:00,278.25,356.06,90.02,285.86,17.08
32,33,06-Nov-2018 - 08:00,06-Nov-2018 - 12:00,202.38,385.5,109.29,282.81,25.07
33,34,06-Nov-2018 - 12:00,06-Nov-2018 - 16:00,69.12,243.62,115.26,282.67,13.22
34,35,06-Nov-2018 - 16:00,06-Nov-2018 - 20:00,97.31,338.5,139.01,278.99,14.92
35,36,06-Nov-2018 - 20:00,07-Nov-2018 - 00:00,199.19,436.0,131.71,284.74,23.59
36,37,07-Nov-2018 - 00:00,07-Nov-2018 - 04:00,243.81,382.25,96.31,285.77,17.08
37,38,07-Nov-2018 - 04:00,07-Nov-2018 - 08:00,273.81,429.75,106.28,261.56,20.59
38,39,07-Nov-2018 - 08:00,07-Nov-2018 - 12:00,191.88,424.31,119.47,277.84,22.39
39,40,07-Nov-2018 - 12:00,07-Nov-2018 - 16:00,94.81,227.81,104.68,278.21,15.11
40,41,07-Nov-2018 - 16:00,07-Nov-2018 - 20:00,110.81,324.06,162.89,243.69,15.89
41,42,07-Nov-2018 - 20:00,08-Nov-2018 - 00:00,514.75,798.94,169.4,230.12,26.4
42,43,08-Nov-2018 - 00:00,08-Nov-2018 - 04:00,606.6433333333333,823.6600000000001,143.36,259.12,29.05
43,44,08-Nov-2018 - 04:00,08-Nov-2018 - 08:00,698.5366666666666,848.38,145.56,163.28,73.77
44,45,08-Nov-2018 - 08:00,08-Nov-2018 - 12:00,790.43,873.1,180.31,194.45,42.49
45,46,08-Nov-2018 - 12:00,08-Nov-2018 - 16:00,253.88,433.62,192.09,237.4,8.52
46,47,08-Nov-2018 - 16:00,08-Nov-2018 - 20:00,265.38,625.88,244.31,254.25,14.76
47,48,08-Nov-2018 - 20:00,09-Nov-2018 - 00:00,578.88,681.7733333333333,232.41,116.56,13.33
48,49,09-Nov-2018 - 00:00,09-Nov-2018 - 04:00,892.38,737.6666666666666,214.87,219.11,20.35
49,50,09-Nov-2018 - 04:00,09-Nov-2018 - 08:00,592.75,793.56,233.33,198.79,19.39166666666667
50,51,09-Nov-2018 - 08:00,09-Nov-2018 - 12:00,409.62,579.38,227.2,212.19,18.433333333333334
51,52,09-Nov-2018 - 12:00,09-Nov-2018 - 16:00,166.19,302.81,172.69,244.3,17.475
52,53,09-Nov-2018 - 16:00,09-Nov-2018 - 20:00,165.62,454.0,243.25,219.42,16.516666666666666
53,54,09-Nov-2018 - 20:00,10-Nov-2018 - 00:00,431.44,635.25,453.71,258.04,15.558333333333334
54,55,10-Nov-2018 - 00:00,10-Nov-2018 - 04:00,507.31,816.5,293.31,220.02,14.6
55,56,10-Nov-2018 - 04:00,10-Nov-2018 - 08:00,453.06,638.0,320.93,100.24,12.524999999999999
56,57,10-Nov-2018 - 08:00,10-Nov-2018 - 12:00,369.38,578.5,257.16,164.11,10.45
57,58,10-Nov-2018 - 12:00,10-Nov-2018 - 16:00,211.25,341.88,120.34,99.32,8.19
58,59,10-Nov-2018 - 16:00,10-Nov-2018 - 20:00,258.88,533.5,306.41,175.78,18.88
59,60,10-Nov-2018 - 20:00,11-Nov-2018 - 00:00,456.81,877.94,355.96,139.73,35.27
60,61,11-Nov-2018 - 00:00,11-Nov-2018 - 04:00,477.81,739.38,261.26,197.63,23.9
61,62,11-Nov-2018 - 04:00,11-Nov-2018 - 08:00,448.31,624.19,303.57,218.44,25.04
62,63,11-Nov-2018 - 08:00,11-Nov-2018 - 12:00,338.12,518.06,169.24,141.81,28.06
63,64,11-Nov-2018 - 12:00,11-Nov-2018 - 16:00,184.25,329.25,161.56,210.31,7.54
64,65,11-Nov-2018 - 16:00,11-Nov-2018 - 20:00,212.44,457.31,267.36,82.28,13.12
65,66,11-Nov-2018 - 20:00,12-Nov-2018 - 00:00,412.69,810.31,234.89,188.59,28.82
66,67,12-Nov-2018 - 00:00,12-Nov-2018 - 04:00,474.56,749.94,149.9,80.36,19.73
67,68,12-Nov-2018 - 04:00,12-Nov-2018 - 08:00,403.5,558.31,147.68,96.97,14.61
68,69,12-Nov-2018 - 08:00,12-Nov-2018 - 12:00,359.0,578.75,136.3,106.93,28.42
69,70,12-Nov-2018 - 12:00,12-Nov-2018 - 16:00,204.06,386.81,167.01,159.01,32.03
70,71,12-Nov-2018 - 16:00,12-Nov-2018 - 20:00,254.44,582.44,197.72,157.45,39.71
71,72,12-Nov-2018 - 20:00,13-Nov-2018 - 00:00,457.12,933.31,235.69,153.94,46.1
72,73,13-Nov-2018 - 00:00,13-Nov-2018 - 04:00,432.75,757.62,102.45,179.64,18.15
73,74,13-Nov-2018 - 04:00,13-Nov-2018 - 08:00,394.69,584.06,140.21,104.25,14.34
74,75,13-Nov-2018 - 08:00,13-Nov-2018 - 12:00,395.44,654.69,177.97,165.28,24.29
75,76,13-Nov-2018 - 12:00,13-Nov-2018 - 16:00,251.88,464.44,121.08,88.15,11.94
76,77,13-Nov-2018 - 16:00,13-Nov-2018 - 20:00,237.56,392.62,151.54,77.62,15.21
77,78,13-Nov-2018 - 20:00,14-Nov-2018 - 00:00,285.06,494.19,150.98,149.75,18.31
78,79,14-Nov-2018 - 00:00,14-Nov-2018 - 04:00,271.44,385.44,118.59,185.56,17.87
79,80,14-Nov-2018 - 04:00,14-Nov-2018 - 08:00,125.19,183.38,98.82,149.88,16.99
80,81,14-Nov-2018 - 08:00,14-Nov-2018 - 12:00,187.5,302.44,134.56,135.46,31.44
81,82,14-Nov-2018 - 12:00,14-Nov-2018 - 16:00,119.07,216.38,82.8,113.89,15.79
82,83,14-Nov-2018 - 16:00,14-Nov-2018 - 20:00,124.88,231.5,143.12,111.14,18.19
83,84,14-Nov-2018 - 20:00,15-Nov-2018 - 00:00,181.25,354.31,138.4,124.86,31.41
84,85,15-Nov-2018 - 00:00,15-Nov-2018 - 04:00,100.5,151.31,83.83,118.84,23.62
85,86,15-Nov-2018 - 04:00,15-Nov-2018 - 08:00,101.94,151.88,80.47,149.76,20.63
86,87,15-Nov-2018 - 08:00,15-Nov-2018 - 12:00,92.44,184.31,88.93,136.13,27.61
87,88,15-Nov-2018 - 12:00,15-Nov-2018 - 16:00,92.62,216.06,106.44,278.56,16.12
88,89,15-Nov-2018 - 16:00,15-Nov-2018 - 20:00,115.69,267.62,120.44,276.2,20.13
89,90,15-Nov-2018 - 20:00,16-Nov-2018 - 00:00,191.75,391.81,130.29,288.79,27.36
90,91,16-Nov-2018 - 00:00,16-Nov-2018 - 04:00,253.38,372.81,76.07,287.5,22.14
91,92,16-Nov-2018 - 04:00,16-Nov-2018 - 08:00,138.12,200.94,82.74,286.18,20.82
92,93,16-Nov-2018 - 08:00,16-Nov-2018 - 12:00,144.88,276.0,100.31,284.96,25.08
